genre,artist_name,track_name,Rank_x,emotion_score_x,emotion_bucket,Rank,Game Title,Year,Genre,emotion_score_y
Jazz,Odd Chap,Day & Night,0.5212765957446809,0.27,27,0.5209863588667366,Spyro 2: Season of Flame,2002.0,Platform,0.27
Hip-Hop,Kid Cudi,Day 'N' Nite - Crookers Remix,0.425531914893617,0.28,28,0.4275970619097586,Sonic Classic Collection,2010.0,Platform,0.27
R&B,Tom Misch,Day 1: Ephemeral,0.5,0.43,43,0.5026232948583421,Warcraft III: Reign of Chaos,2002.0,Strategy,0.43
R&B,Tom Misch,Day 2: Feeling,0.4468085106382978,0.63,63,0.444386149003148,The House of the Dead 2 & 3 Return,2008.0,Shooter,0.63
R&B,Tom Misch,Day 4: Everybody Get Down,0.4574468085106383,0.58,57,0.4464847848898216,Twisted Metal: Black,2001.0,Racing,0.58
Blues,Badfinger,Day After Day - Remastered 2010,0.4680851063829787,0.51,51,0.4674711437565582,Midway Arcade Treasures,2003.0,Misc,0.5
Jazz,Phoniks,Day Break,0.5106382978723404,0.57,56,0.5120671563483735,Stuntman,2002.0,Racing,0.58
Jazz,Eddie Kendricks,Day By Day,0.5851063829787234,0.5,50,0.5844700944386149,The Urbz: Sims in the City,2004.0,Simulation,0.5
Comedy,Jim Jefferies,Day Care,0.6170212765957447,0.5,50,0.612277019937041,SingStar,2004.0,Misc,0.5
R&B,Pia Mia,Day Dreaming,0.4680851063829787,0.42,42,0.5026232948583421,Warcraft III: Reign of Chaos,2002.0,Strategy,0.43
Hip-Hop,Kodak Black,Day For Day,0.3936170212765957,0.57,56,0.3924449108079748,Test Drive 5,1997.0,Racing,0.58
Blues,Brother Dege,Day I Was Born,0.6702127659574468,0.56,56,0.6652675760755509,R4: Ridge Racer Type 4,1998.0,Racing,0.58
Ska,Catch 22,Day In Day Out,0.6276595744680851,0.26,26,0.6248688352570829,Kirby Squeak Squad,2006.0,Platform,0.27
Comedy,Michael Ian Black,Day Job,0.7127659574468085,0.51,51,0.7177334732423925,uDraw Studio,2010.0,Misc,0.5
Comedy,Al Madrigal,Day Laborer,0.8191489361702128,0.44,44,0.7880377754459601,Command & Conquer: Red Alert,1996.0,Strategy,0.43
Folk,Raffi,Day O,0.5,0.5,50,0.5,High School Musical 3: Senior Year,2008.0,Misc,0.5
Comedy,Robert Kelly,Day Off from School,0.9042553191489362,0.5,50,0.901364113326338,Guitar Hero III: Legends of Rock,2007.0,Misc,0.5
Folk,City and Colour,Day Old Hate,0.5212765957446809,0.71,71,0.5204616998950682,Pro Evolution Soccer 2008,2007.0,Sports,0.7
Soundtrack,Hans Zimmer,Day One,0.2872340425531914,0.85,85,0.2927597061909758,Tomb Raider: Underworld,2008.0,Adventure,0.85
Soul,GASHI,Day Ones,0.5425531914893617,0.58,57,0.5508919202518363,Spy Hunter,2001.0,Racing,0.58
Rock,The Beatles,Day Tripper - Remastered 2015,0.2765957446808511,0.29,28,0.2817418677859391,Tak and the Power of Juju,2003.0,Platform,0.27
Ska,Left Alone,Day by Day,0.8191489361702128,0.27,27,0.8132214060860441,Donkey Kong,1994.0,Platform,0.27
Reggae,Rebelution,Day by Day - Dub,0.7340425531914894,0.62,62,0.7345225603357818,Killzone 3,2011.0,Shooter,0.63
