,Rank,Game Title,Year,Genre,energy,tempo,valence
0,1.0,Wii Sports,2006.0,Sports,0.9,0.8,0.4
1,0.9989506820566632,Mario Kart Wii,2008.0,Racing,0.75,0.6,0.4
2,0.9984260230849948,Wii Sports Resort,2009.0,Sports,0.9,0.8,0.4
3,0.9979013641133264,Tetris,1989.0,Puzzle,0.1,0.1,0.1
4,0.997376705141658,New Super Mario Bros.,2006.0,Platform,0.3,0.2,0.3
5,0.9968520461699896,Wii Play,2006.0,Misc,0.5,0.5,0.5
6,0.9958027282266528,New Super Mario Bros. Wii,2009.0,Platform,0.3,0.2,0.3
7,0.9952780692549844,Nintendogs,2005.0,Simulation,0.6,0.5,0.4
8,0.994753410283316,Pokémon Gold / Silver Version,1999.0,Role-Playing,0.7,0.8,0.8
9,0.9942287513116476,Wii Fit,2007.0,Sports,0.9,0.8,0.4
10,0.993704092339979,Mario Kart DS,2005.0,Racing,0.75,0.6,0.4
11,0.9931794333683106,Wii Fit Plus,2009.0,Sports,0.9,0.8,0.4
12,0.9926547743966422,Grand Theft Auto: San Andreas,2004.0,Action,1.0,1.0,0.75
13,0.9921301154249738,Super Mario World,1990.0,Platform,0.3,0.2,0.3
14,0.9916054564533052,Brain Age: Train Your Brain in Minutes a Day,2005.0,Misc,0.5,0.5,0.5
15,0.9910807974816368,Kinect Adventures!,2010.0,Misc,0.5,0.5,0.5
16,0.9905561385099686,Super Mario Land,1989.0,Platform,0.3,0.2,0.3
17,0.9900314795383002,Pokémon Diamond / Pearl Version,2006.0,Role-Playing,0.7,0.8,0.8
18,0.9895068205666318,Super Mario Bros. 3,1988.0,Platform,0.3,0.2,0.3
19,0.9889821615949632,Grand Theft Auto: Vice City,2002.0,Action,1.0,1.0,0.75
20,0.9884575026232948,Pokémon Ruby / Sapphire Version,2002.0,Role-Playing,0.7,0.8,0.8
21,0.9879328436516264,Brain Age 2: More Training in Minutes a Day,2005.0,Misc,0.5,0.5,0.5
22,0.987408184679958,Gran Turismo 3: A-Spec,2001.0,Racing,0.75,0.6,0.4
23,0.9868835257082896,Call of Duty: Modern Warfare 3,2011.0,Shooter,0.6,0.4,0.9
24,0.9863588667366212,Pokémon Yellow: Special Pikachu Edition,1998.0,Role-Playing,0.7,0.8,0.8
25,0.9858342077649528,Pokémon Black / White Version,2010.0,Role-Playing,0.7,0.8,0.8
26,0.9853095487932844,Call of Duty: Black Ops,2010.0,Shooter,0.6,0.4,0.9
27,0.984784889821616,Grand Theft Auto III,2001.0,Action,1.0,1.0,0.75
28,0.9842602308499476,Call of Duty: Modern Warfare 2,2009.0,Shooter,0.6,0.4,0.9
29,0.9837355718782792,Call of Duty: Modern Warfare 3,2011.0,Shooter,0.6,0.4,0.9
30,0.9832109129066108,Super Mario 64,1996.0,Platform,0.3,0.2,0.3
31,0.9826862539349424,Call of Duty: Black Ops,2010.0,Shooter,0.6,0.4,0.9
32,0.982161594963274,Call of Duty: Black Ops II,2012.0,Shooter,0.6,0.4,0.9
33,0.9816369359916056,Animal Crossing: Wild World,2005.0,Simulation,0.6,0.5,0.4
34,0.9811122770199372,Halo 3,2007.0,Shooter,0.6,0.4,0.9
35,0.9805876180482688,Super Smash Bros. Brawl,2008.0,Fighting,0.8,0.8,0.8
36,0.9800629590766002,Pokémon Heart Gold / Soul Silver Version,2009.0,Role-Playing,0.7,0.8,0.8
37,0.9795383001049318,Gran Turismo 4,2004.0,Racing,0.75,0.6,0.4
38,0.9790136411332634,The Sims,2000.0,Simulation,0.6,0.5,0.4
39,0.978488982161595,Super Mario Land 2: 6 Golden Coins,1992.0,Platform,0.3,0.2,0.3
40,0.9779643231899264,Gran Turismo,1997.0,Racing,0.75,0.6,0.4
41,0.977439664218258,Super Mario Galaxy,2007.0,Platform,0.3,0.2,0.3
42,0.9769150052465896,Super Mario All-Stars,1993.0,Platform,0.3,0.2,0.3
43,0.9763903462749214,Pokémon FireRed / LeafGreen Version,2004.0,Role-Playing,0.7,0.8,0.8
44,0.975865687303253,Grand Theft Auto IV,2008.0,Action,1.0,1.0,0.75
45,0.9753410283315844,Call of Duty: Modern Warfare 2,2009.0,Shooter,0.6,0.4,0.9
46,0.974816369359916,Super Mario 64 DS,2004.0,Platform,0.3,0.2,0.3
47,0.9742917103882476,Mario Kart 64,1996.0,Racing,0.75,0.6,0.4
48,0.9737670514165792,Call of Duty: Black Ops II,2012.0,Shooter,0.6,0.4,0.9
49,0.9732423924449108,Just Dance 3,2011.0,Misc,0.5,0.5,0.5
50,0.9727177334732424,Final Fantasy VII,1997.0,Role-Playing,0.7,0.8,0.8
51,0.972193074501574,Grand Theft Auto IV,2008.0,Action,1.0,1.0,0.75
52,0.9716684155299056,Halo: Reach,2010.0,Shooter,0.6,0.4,0.9
53,0.9711437565582371,Just Dance 2,2010.0,Misc,0.5,0.5,0.5
54,0.9706190975865688,Gran Turismo 2,1999.0,Racing,0.75,0.6,0.4
55,0.9700944386149004,Donkey Kong Country,1994.0,Platform,0.3,0.2,0.3
