Rank,Game Title,Year,Genre,TimbreAvg1
0.9895068205666318,Super Mario Bros. 3,1988.0,Platform,0.5209682431452011
0.9601259181532004,Super Mario Bros. 2,1988.0,Platform,0.5209682431452011
0.9365162644281216,Tetris,1988.0,Puzzle,0.5209682431452011
0.8704092339979014,Dragon Warrior III,1988.0,Role-Playing,0.5209682431452011
0.7308499475341028,Ice Hockey,1988.0,Sports,0.5209682431452011
0.5141657922350472,Donkey Kong Classics,1988.0,Platform,0.5209682431452011
0.4826862539349423,Mega Man 2,1988.0,Action,0.5209682431452011
0.4559286463798531,Disney's DuckTales,1988.0,Platform,0.5209682431452011
0.236096537250787,R.B.I. Baseball 3,1988.0,Sports,0.5209682431452011
0.9905561385099686,Super Mario Land,1989.0,Platform,0.3649723727818933
0.929171038824764,Dr. Mario,1989.0,Puzzle,0.3649723727818933
0.6799580272822665,Golf,1989.0,Sports,0.3649723727818933
0.636411332633788,Alleyway,1989.0,Puzzle,0.3649723727818933
0.3179433368310598,SolarStriker,1989.0,Shooter,0.3649723727818933
0.2471143756558237,Famicom Jump: Eiyuu Retsuden,1989.0,Role-Playing,0.3649723727818933
0.2460650577124868,The Final Fantasy Legend,1989.0,Role-Playing,0.3649723727818933
0.9921301154249738,Super Mario World,1990.0,Platform,0.8997667448678092
0.8363064008394544,F-1 Race,1990.0,Racing,0.8997667448678092
0.8163693599160546,Dragon Warrior IV,1990.0,Role-Playing,0.8997667448678092
0.789087093389297,F-Zero,1990.0,Racing,0.8997667448678092
0.7597061909758657,Streets of Rage,1990.0,Action,0.8997667448678092
0.5131164742917104,Final Fight,1990.0,Action,0.8997667448678092
0.4763903462749213,Nintendo World Cup,1990.0,Sports,0.8997667448678092
0.4428121720881427,Final Fantasy III,1990.0,Role-Playing,0.8997667448678092
0.310598111227702,Disney's Chip 'n Dale: Rescue Rangers,1990.0,Platform,0.8997667448678092
0.2843651626442812,Qix,1990.0,Puzzle,0.8997667448678092
0.2754459601259181,Pilotwings,1990.0,Simulation,0.8997667448678092
0.2623294858342078,Mega Man 3,1990.0,Platform,0.8997667448678092
0.9045120671563484,The Legend of Zelda: A Link to the Past,1991.0,Adventure,0.839877382149337
0.8924449108079748,Sonic the Hedgehog,1991.0,Platform,0.839877382149337
0.6484784889821616,SimCity,1991.0,Simulation,0.839877382149337
0.6474291710388248,Yoshi,1991.0,Puzzle,0.839877382149337
0.5912906610703044,Final Fantasy II,1991.0,Role-Playing,0.839877382149337
0.5891920251836307,Metroid II: Return of Samus,1991.0,Adventure,0.839877382149337
0.5445960125918153,Super Scope 6,1991.0,Shooter,0.839877382149337
0.3016789087093389,Super Ghouls 'n Ghosts,1991.0,Platform,0.839877382149337
0.2749213011542497,Super R.C. Pro-Am,1991.0,Racing,0.839877382149337
0.1610703043022035,NES Open Tournament Golf,1991.0,Sports,0.839877382149337
0.978488982161595,Super Mario Land 2: 6 Golden Coins,1992.0,Platform,0.58676763474288
0.9685204616998953,Super Mario Kart,1992.0,Racing,0.58676763474288
0.9485834207764952,Street Fighter II: The World Warrior,1992.0,Fighting,0.58676763474288
0.9433368310598113,Sonic the Hedgehog 2,1992.0,Platform,0.58676763474288
0.9213011542497376,Kirby's Dream Land,1992.0,Platform,0.58676763474288
0.8830010493179433,Street Fighter II Turbo,1992.0,Fighting,0.58676763474288
0.8677859391395593,The Legend of Zelda: Link's Awakening,1992.0,Adventure,0.58676763474288
0.7885624344176285,Doom,1992.0,Shooter,0.58676763474288
0.7754459601259182,Mario Paint,1992.0,Misc,0.58676763474288
0.7681007345225603,Mortal Kombat,1992.0,Fighting,0.58676763474288
0.7376705141657922,Final Fantasy V,1992.0,Role-Playing,0.58676763474288
0.6962224554039874,Kirby's Pinball Land,1992.0,Misc,0.58676763474288
0.6857292759706192,SimCity 2000,1992.0,Simulation,0.58676763474288
0.6621196222455404,NBA Jam,1992.0,Sports,0.58676763474288
0.6395592864637986,The 7th Guest,1992.0,Adventure,0.58676763474288
0.5577124868835257,Yoshi's Cookie,1992.0,Puzzle,0.58676763474288
0.5487932843651626,Street Fighter II': Special Champion Edition,1992.0,Fighting,0.58676763474288
0.3488982161594963,Tetris 2 (All region sales),1992.0,Puzzle,0.58676763474288
0.325813221406086,The Magical Quest starring Mickey Mouse (all region sales),1992.0,Platform,0.58676763474288
0.9769150052465896,Super Mario All-Stars,1993.0,Platform,0.9786734954626644
0.8037775445960126,Star Fox,1993.0,Shooter,0.9786734954626644
0.6532004197271774,Super Street Fighter II,1993.0,Fighting,0.9786734954626644
0.6327387198321092,Mortal Kombat II,1993.0,Fighting,0.9786734954626644
0.60598111227702,Secret of Mana,1993.0,Role-Playing,0.9786734954626644
0.580797481636936,Kirby's Adventure,1993.0,Platform,0.9786734954626644
0.5802728226652676,Disney's Aladdin,1993.0,Platform,0.9786734954626644
0.5666316894018888,Super Puyo Puyo,1993.0,Puzzle,0.9786734954626644
0.4842602308499475,Sonic CD,1993.0,Platform,0.9786734954626644
0.306925498426023,Mega Man X,1993.0,Platform,0.9786734954626644
0.2822665267576075,Dragon Quest I & II,1993.0,Role-Playing,0.9786734954626644
0.1783840503672613,Final Fight 2,1993.0,Action,0.9786734954626644
0.9700944386149004,Donkey Kong Country,1994.0,Platform,0.7262109299258693
0.9648478488982162,Myst,1994.0,Adventure,0.7262109299258693
0.9233997901364114,Super Mario Land 3: Wario Land,1994.0,Platform,0.7262109299258693
0.8730325288562435,Donkey Kong Land,1994.0,Platform,0.7262109299258693
0.8525708289611753,Doom II,1994.0,Shooter,0.7262109299258693
