Rank,Game Title,Year,Genre
0.9433368310598111,Sonic the Hedgehog 2,1992.0,Platform
0.9428121720881427,Metal Gear Solid,1998.0,Action
0.9422875131164743,Gears of War,2006.0,Shooter
0.9417628541448059,Final Fantasy XII,2006.0,Role-Playing
0.9412381951731374,Donkey Kong Country Returns,2010.0,Platform
0.940713536201469,Kingdom Hearts,2002.0,Role-Playing
0.9401888772298006,Resident Evil 2,1998.0,Action
0.9396642182581323,Gears of War 3,2011.0,Shooter
0.9391395592864639,Uncharted 3: Drake's Deception,2011.0,Action
0.9386149003147954,Metal Gear Solid 4: Guns of the Patriots,2008.0,Action
0.938090241343127,Tekken 2,1996.0,Fighting
0.9375655823714586,Dragon Quest IX: Sentinels of the Starry Skies,2009.0,Role-Playing
0.9370409233997902,New Super Mario Bros. 2,2012.0,Platform
0.9365162644281217,Tetris,1988.0,Puzzle
0.9359916054564533,Super Smash Bros.,1999.0,Fighting
0.9354669464847849,Kinect Sports,2010.0,Sports
0.9349422875131165,Super Mario Advance,2001.0,Platform
0.934417628541448,Mario Kart: Super Circuit,2001.0,Racing
0.9338929695697796,Red Dead Redemption,2010.0,Action
0.9333683105981112,Super Mario World: Super Mario Advance 2,2001.0,Platform
0.9328436516264429,Cooking Mama,2006.0,Simulation
0.9323189926547745,Pokémon Stadium,1999.0,Strategy
0.931794333683106,Crash Bandicoot: The Wrath of Cortex,2001.0,Platform
0.9312696747114376,Red Dead Redemption,2010.0,Action
0.9307450157397692,Assassin's Creed II,2009.0,Action
0.9302203567681008,Monster Hunter Freedom Unite,2008.0,Role-Playing
0.9296956977964324,Forza Motorsport 3,2009.0,Racing
0.9291710388247639,Dr. Mario,1989.0,Puzzle
0.9286463798530955,Just Dance 4,2012.0,Misc
0.9281217208814271,Pokémon Pinball,1999.0,Misc
0.9275970619097587,Final Fantasy IX,2000.0,Role-Playing
0.9270724029380902,Final Fantasy X-2,2003.0,Role-Playing
0.9265477439664218,Donkey Kong 64,1999.0,Platform
0.9260230849947534,Assassin's Creed,2007.0,Adventure
0.9254984260230851,Tomb Raider II,1997.0,Adventure
0.9244491080797482,Dragon Quest VIII: Journey of the Cursed King,2004.0,Role-Playing
0.9239244491080798,Super Mario Advance 4: Super Mario Bros. 3,2003.0,Platform
0.9233997901364114,Super Mario Land 3: Wario Land,1994.0,Platform
0.922875131164743,LittleBigPlanet,2008.0,Platform
0.9223504721930745,Donkey Kong Country 2: Diddy's Kong Quest,1995.0,Platform
0.9218258132214061,Medal of Honor: Rising Sun,2003.0,Shooter
0.9213011542497377,Kirby's Dream Land,1992.0,Platform
0.9207764952780693,Microsoft Flight Simulator,1996.0,Simulation
0.9202518363064008,Guitar Hero II,2006.0,Misc
0.9197271773347324,Assassin's Creed II,2009.0,Action
0.919202518363064,Super Mario Bros. Deluxe,1999.0,Platform
0.9186778593913956,Professor Layton and the Curious Village,2007.0,Adventure
0.9181532004197273,LEGO Star Wars: The Complete Saga,2007.0,Action
0.9176285414480588,Resident Evil,1996.0,Action
0.9171038824763904,Tony Hawk's Pro Skater,1999.0,Sports
0.916579223504722,Mario & Sonic at the Olympic Games,2008.0,Sports
0.9160545645330536,Warzone 2100,1999.0,Strategy
0.9155299055613851,Spyro the Dragon,1998.0,Platform
0.9150052465897167,Call of Duty: World at War,2008.0,Shooter
0.9144805876180483,Guitar Hero III: Legends of Rock,2007.0,Misc
0.9139559286463799,Link's Crossbow Training,2007.0,Shooter
0.9134312696747114,The Legend of Zelda: Phantom Hourglass,2007.0,Adventure
0.912906610703043,Final Fantasy XIII,2009.0,Role-Playing
0.9123819517313746,Madden NFL 06,2005.0,Sports
0.9118572927597062,FIFA Soccer 11,2010.0,Sports
0.9113326337880377,Fable III,2010.0,Role-Playing
0.9108079748163694,Pokémon Mystery Dungeon: Explorers of Time / Darkness,2007.0,Role-Playing
0.910283315844701,Diddy Kong Racing,1997.0,Racing
0.9097586568730326,Dr. Mario,1990.0,Puzzle
0.9092339979013642,Resident Evil 5,2009.0,Action
